Date,Close_AAPL,Close_BTC-USD,Close_EPD,Close_GOOGL,Close_MSFT,Close_TLT,Close_XLE,High_AAPL,High_BTC-USD,High_EPD,High_GOOGL,High_MSFT,High_TLT,High_XLE,Low_AAPL,Low_BTC-USD,Low_EPD,Low_GOOGL,Low_MSFT,Low_TLT,Low_XLE,Open_AAPL,Open_BTC-USD,Open_EPD,Open_GOOGL,Open_MSFT,Open_TLT,Open_XLE,Volume_AAPL,Volume_BTC-USD,Volume_EPD,Volume_GOOGL,Volume_MSFT,Volume_TLT,Volume_XLE
2020-08-07,,11601.47265625,,,,,,,11898.0380859375,,,,,,,11408.59375,,,,,,,11778.89453125,,,,,,,23132312867.0,,,,,
2020-08-08,,11754.0458984375,,,,,,,11800.064453125,,,,,,,11558.431640625,,,,,,,11604.5537109375,,,,,,,17572057837.0,,,,,
2020-08-09,,11675.7392578125,,,,,,,11806.056640625,,,,,,,11548.7841796875,,,,,,,11737.3251953125,,,,,,,17489608833.0,,,,,
2020-08-10,109.7764892578125,11878.111328125,12.533844947814941,74.39482879638672,199.52130126953125,146.5118408203125,31.332096099853516,110.7965681078349,12045.140625,12.615989784321176,74.90824439503312,202.99915624112072,147.4907853584913,31.348441957205484,107.12038961467015,11662.2568359375,12.294257255790296,73.43408379848836,197.70094470467782,146.46853545265728,30.54736086228407,109.65232461053742,11662.2568359375,12.321639303175001,74.09562076050092,202.797951857802,147.46479685030752,30.62092969336095,212403600.0,26114112569.0,6863700.0,20546000.0,36716500.0,6408500.0,26308100.0
2020-08-11,106.51174926757812,11410.525390625,12.451701164245605,73.585693359375,194.85545349121094,144.77047729492188,31.225826263427734,109.53789844079104,11932.7109375,12.84873170373081,75.07178374594318,198.9464684665569,145.0996825373265,32.31300652939704,106.25125017767719,11195.708984375,12.424319117416626,73.4688935244986,194.62550768489723,143.70490929841554,31.07868861566528,109.03881778751953,11881.6474609375,12.793968915720708,74.25467785611434,198.47701588010221,144.82245428709723,31.945165528238853,187902400.0,27039782640.0,7558200.0,31098000.0,36446500.0,19234200.0,26513100.0
2020-08-12,110.05159759521484,11584.9345703125,12.869269371032715,74.9127197265625,200.4219207763672,143.45372009277344,31.536457061767578,110.30965976352992,11748.396484375,12.944568708428518,75.13290341351752,201.4662305288872,143.86956261464692,31.904298139077817,107.41010462326905,11249.60546875,12.547538093733733,73.8073495360528,196.16801854790074,142.93393676889437,31.20130770273173,107.60486600059996,11404.5966796875,12.821352085652878,73.91272039495657,196.68537831820524,143.54901568499753,31.699940599128308,165598000.0,25064548486.0,12519500.0,22512000.0,28013100.0,11744800.0,25532700.0
2020-08-13,111.99923706054688,11784.1376953125,12.87611198425293,75.38041687011719,199.95248413085938,141.92030334472656,30.923385620117188,113.00470916588479,11796.396484375,12.951411304690838,76.39036635907057,202.4914200259943,143.4450191494382,31.544631193204115,110.94507089779177,11216.8720703125,12.739205671949597,74.96093555951427,199.4255340681538,141.35718838703593,30.849816778202406,111.4344186850555,11588.4052734375,12.903494030102282,74.96093555951427,200.66147281697482,143.21110945258297,31.283053781562383,210082000.0,27522199497.0,10678600.0,22388000.0,22588900.0,12744700.0,15761000.0
2020-08-14,111.89944458007812,11768.87109375,12.903493881225586,74.78301239013672,200.14410400390625,141.36585998535156,31.2176570892334,111.98952191983139,12150.994140625,13.10200848875175,75.53649685170288,200.8051854995055,142.2061900681209,31.266704022033547,110.08569826407305,11685.455078125,12.835040073039815,74.50318876952731,198.81236541828898,141.3485431313571,30.56371357647458,111.8239739748972,11772.6591796875,12.862422118573242,75.22933322642379,200.00997258590266,141.9116449225449,30.678153301426295,165565200.0,24237958589.0,5165100.0,21942000.0,17958900.0,6398100.0,13279700.0
2020-08-15,,11865.6982421875,,,,,,,11963.203125,,,,,,,11768.697265625,,,,,,,11768.697265625,,,,,,,23354924400.0,,,,,
2020-08-16,,11892.8037109375,,,,,,,11934.9013671875,,,,,,,11737.1884765625,,,,,,,11866.685546875,,,,,,,20583375490.0,,,,,
2020-08-17,111.6072769165039,12254.40234375,12.930874824523926,75.36003875732422,201.4662322998047,141.72097778320312,31.03782844543457,113.04853640766869,12359.056640625,12.99932863378653,75.7347977413456,202.33809367629547,142.4746835349305,31.24218601356464,110.97916514281515,11806.6962890625,12.793968511646534,74.80139267251226,200.16323534106616,141.58236371174,30.866165718336056,113.0241893774422,11895.658203125,12.937720336014968,75.34662281797921,200.81474113004822,142.0501828981867,31.225837033924353,119561600.0,28227687027.0,6617000.0,19990000.0,20184800.0,6901500.0,14255800.0
2020-08-18,112.53726959228516,11991.2333984375,12.615986824035645,77.32525634765625,202.6255340576172,142.73460388183594,30.645448684692383,112.96331658371079,12335.70703125,12.951408991905668,77.40428070349351,203.45906387306434,142.8298994272885,31.22582317216227,111.02297655985981,11954.525390625,12.588604783076015,75.6299260619623,200.44110000254938,142.1541721846135,30.5555308957116,111.35894623327408,12251.8955078125,12.90349172587389,75.85109566745963,201.70576542532348,142.38808183599136,30.923374978702245,105633600.0,26043227672.0,3920900.0,28378000.0,21336200.0,8140600.0,14348800.0
